연도,최종순위,war,wrc+
1994,1,38.57,123.6
1995,3,26.04,105.7
1996,7,22.28,100.1
1997,2,27.28,104.2
1998,2,27.2,104.9
1999,6,26.26,100.4
2000,4,24.87,100.8
2001,6,21.7,95.1
2002,2,20.25,91
2003,6,13.46,82.2
2004,6,18.5,91.7
2005,6,22.48,94.1
2006,8,16.3,88
2007,5,22.6,98.3
2008,8,14.06,84.8
2009,7,21.71,95.8
2010,6,24.72,100.2
2011,6,21.25,97
2012,7,23.42,97.7
2013,3,24.48,100.9
2014,4,18.23,95.6
2015,9,10.81,92.1
2016,4,22.2,98
2017,6,19.61,93
2018,8,23.04,102.5
2019,4,25.51,98.8
2020,4,30.23,108.8
2021,4,23.74,99.4
2022,3,35.2,113.4
