2022시즌타율,2018시즌타율,월별,오지환,김현수
0.349,0.362,4,0.217,0.297
0.342,0.358,5,0.289,0.309
0.336,0.355,6,0.234,0.275
0.331,0.345,7,0.288,0.238
0.32,0.342,8,0.292,0.24
0.318,0.342,9,0.298,0.327
0.315,0.34,,,
0.311,0.339,,,
0.309,0.339,,,
0.308,0.334,,,
0.307,0.333,,,
0.304,0.333,,,
0.304,0.333,,,
0.3,0.331,,,
0.298,0.33,,,
0.296,0.329,,,
0.289,0.329,,,
0.289,0.326,,,
0.289,0.324,,,
0.287,0.324,,,
0.286,0.318,,,
0.286,0.318,,,
0.284,0.316,,,
0.283,0.316,,,
0.281,0.313,,,
0.28,0.313,,,
0.277,0.311,,,
0.277,0.31,,,
0.277,0.306,,,
0.276,0.305,,,
